experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
BR_train_buy_cat_click_logit_residual	20260725	20260726	20260726	buy	0.836486	0.715800	0.709900	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150515
BR_train_buy_cat_click_logit_residual	20260725	20260726	20260726	cat	0.835792	0.718200	0.712300	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150515
BR_train_buy_cat_click_logit_residual	20260725	20260726	20260726	click	0.805554	0.710000	0.707400	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150515
BR_train_buy_cat_click_logit_residual	20260725	20260726	20260726	ext	0.855239	0.801100	0.797000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150515
BR_train_buy_cat_click_logit_residual	20260726	20260727	20260727	buy	0.839298	0.706900	0.699400	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150553
BR_train_buy_cat_click_logit_residual	20260726	20260727	20260727	cat	0.838023	0.709600	0.702600	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150553
BR_train_buy_cat_click_logit_residual	20260726	20260727	20260727	click	0.803186	0.699200	0.696400	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150553
BR_train_buy_cat_click_logit_residual	20260726	20260727	20260727	ext	0.860295	0.812100	0.810900	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150553
BR_train_buy_cat_click_logit_residual	20260727	20260728	20260728	buy	0.840065	0.703700	0.696100	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150619
BR_train_buy_cat_click_logit_residual	20260727	20260728	20260728	cat	0.838720	0.707300	0.699100	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150619
BR_train_buy_cat_click_logit_residual	20260727	20260728	20260728	click	0.803944	0.701000	0.697200	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150619
BR_train_buy_cat_click_logit_residual	20260727	20260728	20260728	ext	0.864778	0.823200	0.823400	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150619
BR_train_buy_cat_click_logit_residual	20260728	20260729	20260729	buy	0.838887	0.704700	0.699400	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150644
BR_train_buy_cat_click_logit_residual	20260728	20260729	20260729	cat	0.837678	0.708500	0.702600	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150644
BR_train_buy_cat_click_logit_residual	20260728	20260729	20260729	click	0.805216	0.704000	0.700800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150644
BR_train_buy_cat_click_logit_residual	20260728	20260729	20260729	ext	0.856387	0.817400	0.817000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150644
BR_train_buy_cat_click_logit_residual	20260729	20260730	20260730	buy	0.838760	0.705900	0.699900	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150711
BR_train_buy_cat_click_logit_residual	20260729	20260730	20260730	cat	0.837726	0.709300	0.703100	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150711
BR_train_buy_cat_click_logit_residual	20260729	20260730	20260730	click	0.805145	0.703700	0.700300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150711
BR_train_buy_cat_click_logit_residual	20260729	20260730	20260730	ext	0.861501	0.804000	0.803500	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150711
BR_train_buy_cat_click_logit_residual	20260730	20260731	20260731	buy	0.839524	0.708600	0.703100	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150739
BR_train_buy_cat_click_logit_residual	20260730	20260731	20260731	cat	0.838435	0.711500	0.705600	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150739
BR_train_buy_cat_click_logit_residual	20260730	20260731	20260731	click	0.807294	0.707100	0.704000	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150739
BR_train_buy_cat_click_logit_residual	20260730	20260731	20260731	ext	0.859109	0.816600	0.813300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150739
BR_train_buy_cat_click_logit_residual	20260731	20260801	20260801	buy	0.833104	0.704900	0.697500	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150814
BR_train_buy_cat_click_logit_residual	20260731	20260801	20260801	cat	0.832512	0.707600	0.700400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150814
BR_train_buy_cat_click_logit_residual	20260731	20260801	20260801	click	0.804416	0.703900	0.700100	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150814
BR_train_buy_cat_click_logit_residual	20260731	20260801	20260801	ext	0.856559	0.813700	0.810300	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150814
BR_train_buy_funnel_residual_adapter	20260720	20260721	20260724	buy	0.834916	0.698000	0.693000	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150243
BR_train_buy_funnel_residual_adapter	20260720	20260721	20260724	cat	0.833793	0.701600	0.696500	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150243
BR_train_buy_funnel_residual_adapter	20260720	20260721	20260724	click	0.802112	0.698000	0.695600	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150243
BR_train_buy_funnel_residual_adapter	20260720	20260721	20260724	ext	0.864184	0.812200	0.810500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150243
BR_train_buy_funnel_residual_adapter	20260724	20260725	20260725	buy	0.833220	0.702200	0.696000	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150433
BR_train_buy_funnel_residual_adapter	20260724	20260725	20260725	cat	0.832812	0.706100	0.699400	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150433
BR_train_buy_funnel_residual_adapter	20260724	20260725	20260725	click	0.804941	0.700100	0.697400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150433
BR_train_buy_funnel_residual_adapter	20260724	20260725	20260725	ext	0.859301	0.805000	0.803500	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150433
BR_train_buy_funnel_residual_adapter	20260725	20260726	20260726	buy	0.836201	0.715500	0.709600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150510
BR_train_buy_funnel_residual_adapter	20260725	20260726	20260726	cat	0.835607	0.718100	0.712100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150510
BR_train_buy_funnel_residual_adapter	20260725	20260726	20260726	click	0.805385	0.708500	0.705800	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150510
BR_train_buy_funnel_residual_adapter	20260725	20260726	20260726	ext	0.856443	0.803500	0.801900	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150510
BR_train_buy_funnel_residual_adapter	20260726	20260727	20260727	buy	0.839258	0.707300	0.700100	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150548
BR_train_buy_funnel_residual_adapter	20260726	20260727	20260727	cat	0.837934	0.710500	0.703800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150548
BR_train_buy_funnel_residual_adapter	20260726	20260727	20260727	click	0.803072	0.699300	0.696900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150548
BR_train_buy_funnel_residual_adapter	20260726	20260727	20260727	ext	0.860487	0.813200	0.812100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150548
BR_train_buy_funnel_residual_adapter	20260727	20260728	20260728	buy	0.839760	0.702800	0.695800	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150613
BR_train_buy_funnel_residual_adapter	20260727	20260728	20260728	cat	0.838451	0.706500	0.699200	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150613
BR_train_buy_funnel_residual_adapter	20260727	20260728	20260728	click	0.803738	0.699100	0.695900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150613
BR_train_buy_funnel_residual_adapter	20260727	20260728	20260728	ext	0.864930	0.822600	0.820500	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150613
BR_train_buy_funnel_residual_adapter	20260728	20260729	20260729	buy	0.838841	0.703300	0.697800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150639
BR_train_buy_funnel_residual_adapter	20260728	20260729	20260729	cat	0.837633	0.706600	0.700900	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150639
BR_train_buy_funnel_residual_adapter	20260728	20260729	20260729	click	0.805173	0.704000	0.700900	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150639
BR_train_buy_funnel_residual_adapter	20260728	20260729	20260729	ext	0.856447	0.810900	0.810100	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150639
BR_train_buy_funnel_residual_adapter	20260729	20260730	20260730	buy	0.838720	0.705600	0.699300	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150705
BR_train_buy_funnel_residual_adapter	20260729	20260730	20260730	cat	0.837706	0.709400	0.702900	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150705
BR_train_buy_funnel_residual_adapter	20260729	20260730	20260730	click	0.804983	0.702500	0.699000	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150705
BR_train_buy_funnel_residual_adapter	20260729	20260730	20260730	ext	0.861877	0.803900	0.804700	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150705
BR_train_buy_funnel_residual_adapter	20260730	20260731	20260731	buy	0.839313	0.708800	0.703000	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150734
BR_train_buy_funnel_residual_adapter	20260730	20260731	20260731	cat	0.838216	0.711100	0.705200	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150734
BR_train_buy_funnel_residual_adapter	20260730	20260731	20260731	click	0.807002	0.706400	0.703600	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150734
BR_train_buy_funnel_residual_adapter	20260730	20260731	20260731	ext	0.859183	0.820500	0.819600	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150734
BR_train_buy_funnel_residual_adapter	20260731	20260801	20260801	buy	0.833025	0.703200	0.695600	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150809
BR_train_buy_funnel_residual_adapter	20260731	20260801	20260801	cat	0.832412	0.706100	0.698700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150809
BR_train_buy_funnel_residual_adapter	20260731	20260801	20260801	click	0.804129	0.702700	0.698500	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150809
BR_train_buy_funnel_residual_adapter	20260731	20260801	20260801	ext	0.856828	0.811700	0.809300	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150809
BR_train_buy_uid_hard_pairwise_loss	20260720	20260721	20260724	buy	0.834786	0.698600	0.693700	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150250
BR_train_buy_uid_hard_pairwise_loss	20260720	20260721	20260724	cat	0.833753	0.702100	0.697100	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150250
BR_train_buy_uid_hard_pairwise_loss	20260720	20260721	20260724	click	0.802132	0.698100	0.695700	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150250
BR_train_buy_uid_hard_pairwise_loss	20260720	20260721	20260724	ext	0.863836	0.812300	0.811400	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150250
BR_train_buy_uid_hard_pairwise_loss	20260724	20260725	20260725	buy	0.833133	0.700500	0.694100	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150444
BR_train_buy_uid_hard_pairwise_loss	20260724	20260725	20260725	cat	0.832727	0.704600	0.697900	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150444
BR_train_buy_uid_hard_pairwise_loss	20260724	20260725	20260725	click	0.804914	0.699300	0.696600	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150444
BR_train_buy_uid_hard_pairwise_loss	20260724	20260725	20260725	ext	0.859572	0.809900	0.808400	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150444
BR_train_buy_uid_hard_pairwise_loss	20260725	20260726	20260726	buy	0.836274	0.716900	0.711100	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150522
