experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
BR_train_prod_bs_lr	20260731	20260801	20260801	buy	0.833267	0.703800	0.696100	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
BR_train_prod_bs_lr	20260731	20260801	20260801	cat	0.832661	0.706100	0.698400	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
BR_train_prod_bs_lr	20260731	20260801	20260801	click	0.804448	0.702000	0.697800	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
BR_train_prod_bs_lr	20260731	20260801	20260801	ext	0.856796	0.813400	0.811400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608130820
BR_train_prod_bs_lr_batch_control	20260720	20260721	20260724	buy	0.834631	0.697100	0.692100	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190147
BR_train_prod_bs_lr_batch_control	20260720	20260721	20260724	cat	0.833500	0.700700	0.695700	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190147
BR_train_prod_bs_lr_batch_control	20260720	20260721	20260724	click	0.801928	0.696700	0.694300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190147
BR_train_prod_bs_lr_batch_control	20260720	20260721	20260724	ext	0.863544	0.808900	0.807700	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190147
BR_train_prod_bs_lr_batch_control	20260724	20260725	20260725	buy	0.833077	0.701400	0.695600	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190348
BR_train_prod_bs_lr_batch_control	20260724	20260725	20260725	cat	0.832709	0.705600	0.699500	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190348
BR_train_prod_bs_lr_batch_control	20260724	20260725	20260725	click	0.804972	0.699000	0.696500	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190348
BR_train_prod_bs_lr_batch_control	20260724	20260725	20260725	ext	0.859868	0.805300	0.802100	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190348
BR_train_prod_bs_lr_batch_control	20260725	20260726	20260726	buy	0.835804	0.714500	0.708500	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190427
BR_train_prod_bs_lr_batch_control	20260725	20260726	20260726	cat	0.835162	0.716800	0.710700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190427
BR_train_prod_bs_lr_batch_control	20260725	20260726	20260726	click	0.804931	0.708500	0.705800	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190427
BR_train_prod_bs_lr_batch_control	20260725	20260726	20260726	ext	0.855387	0.800600	0.796000	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190427
BR_train_prod_bs_lr_batch_control	20260726	20260727	20260727	buy	0.839061	0.706800	0.699300	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190508
BR_train_prod_bs_lr_batch_control	20260726	20260727	20260727	cat	0.837746	0.709300	0.702700	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190508
BR_train_prod_bs_lr_batch_control	20260726	20260727	20260727	click	0.802892	0.698200	0.695700	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190508
BR_train_prod_bs_lr_batch_control	20260726	20260727	20260727	ext	0.860824	0.816800	0.816400	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190508
BR_train_prod_bs_lr_batch_control	20260727	20260728	20260728	buy	0.839798	0.700500	0.693400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190536
BR_train_prod_bs_lr_batch_control	20260727	20260728	20260728	cat	0.838424	0.704100	0.696600	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190536
BR_train_prod_bs_lr_batch_control	20260727	20260728	20260728	click	0.803547	0.697700	0.694300	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190536
BR_train_prod_bs_lr_batch_control	20260727	20260728	20260728	ext	0.864816	0.829600	0.830900	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190536
BR_train_prod_bs_lr_batch_control	20260728	20260729	20260729	buy	0.838748	0.703000	0.697500	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190603
BR_train_prod_bs_lr_batch_control	20260728	20260729	20260729	cat	0.837576	0.706100	0.700300	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190603
BR_train_prod_bs_lr_batch_control	20260728	20260729	20260729	click	0.805032	0.703500	0.699900	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190603
BR_train_prod_bs_lr_batch_control	20260728	20260729	20260729	ext	0.855561	0.816500	0.814300	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190603
BR_train_prod_bs_lr_batch_control	20260729	20260730	20260730	buy	0.838570	0.704000	0.698000	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190631
BR_train_prod_bs_lr_batch_control	20260729	20260730	20260730	cat	0.837526	0.707800	0.701400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190631
BR_train_prod_bs_lr_batch_control	20260729	20260730	20260730	click	0.805008	0.702700	0.699400	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190631
BR_train_prod_bs_lr_batch_control	20260729	20260730	20260730	ext	0.860832	0.804400	0.804400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190631
BR_train_prod_bs_lr_batch_control	20260730	20260731	20260731	buy	0.839001	0.708900	0.703600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190700
BR_train_prod_bs_lr_batch_control	20260730	20260731	20260731	cat	0.837944	0.711900	0.706400	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190700
BR_train_prod_bs_lr_batch_control	20260730	20260731	20260731	click	0.806828	0.707200	0.704700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190700
BR_train_prod_bs_lr_batch_control	20260730	20260731	20260731	ext	0.858426	0.811700	0.810100	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190700
BR_train_prod_bs_lr_batch_control	20260731	20260801	20260801	buy	0.833155	0.704000	0.696700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190737
BR_train_prod_bs_lr_batch_control	20260731	20260801	20260801	cat	0.832547	0.706700	0.699200	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190737
BR_train_prod_bs_lr_batch_control	20260731	20260801	20260801	click	0.804139	0.703600	0.699600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190737
BR_train_prod_bs_lr_batch_control	20260731	20260801	20260801	ext	0.855944	0.808200	0.805400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190737
BR_train_prod_bs_lr_lr_control	20260720	20260721	20260724	buy	0.834016	0.696300	0.691400	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
BR_train_prod_bs_lr_lr_control	20260720	20260721	20260724	cat	0.832977	0.700100	0.695200	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
BR_train_prod_bs_lr_lr_control	20260720	20260721	20260724	click	0.801228	0.696000	0.694000	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
BR_train_prod_bs_lr_lr_control	20260720	20260721	20260724	ext	0.863336	0.810200	0.808900	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190019
BR_train_prod_bs_lr_lr_control	20260724	20260725	20260725	buy	0.833123	0.700400	0.694100	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
BR_train_prod_bs_lr_lr_control	20260724	20260725	20260725	cat	0.832648	0.704700	0.698100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
BR_train_prod_bs_lr_lr_control	20260724	20260725	20260725	click	0.804706	0.698700	0.696200	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
BR_train_prod_bs_lr_lr_control	20260724	20260725	20260725	ext	0.858882	0.805700	0.804100	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608190216
BR_train_prod_bs_lr_lr_control	20260725	20260726	20260726	buy	0.835500	0.713900	0.707600	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
BR_train_prod_bs_lr_lr_control	20260725	20260726	20260726	cat	0.834852	0.716300	0.710000	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
BR_train_prod_bs_lr_lr_control	20260725	20260726	20260726	click	0.804666	0.708000	0.705200	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
BR_train_prod_bs_lr_lr_control	20260725	20260726	20260726	ext	0.853913	0.792200	0.788600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608190256
BR_train_prod_bs_lr_lr_control	20260726	20260727	20260727	buy	0.838414	0.704600	0.696600	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
BR_train_prod_bs_lr_lr_control	20260726	20260727	20260727	cat	0.837128	0.706800	0.699200	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
BR_train_prod_bs_lr_lr_control	20260726	20260727	20260727	click	0.802313	0.696800	0.693800	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
BR_train_prod_bs_lr_lr_control	20260726	20260727	20260727	ext	0.859318	0.813400	0.812000	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608190337
BR_train_prod_bs_lr_lr_control	20260727	20260728	20260728	buy	0.839388	0.702000	0.694600	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
BR_train_prod_bs_lr_lr_control	20260727	20260728	20260728	cat	0.838065	0.706200	0.698300	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
BR_train_prod_bs_lr_lr_control	20260727	20260728	20260728	click	0.803257	0.699000	0.695500	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
BR_train_prod_bs_lr_lr_control	20260727	20260728	20260728	ext	0.863508	0.826600	0.826000	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608190405
BR_train_prod_bs_lr_lr_control	20260728	20260729	20260729	buy	0.838311	0.703400	0.697800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
BR_train_prod_bs_lr_lr_control	20260728	20260729	20260729	cat	0.837107	0.706800	0.701100	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
BR_train_prod_bs_lr_lr_control	20260728	20260729	20260729	click	0.804621	0.703600	0.699900	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
BR_train_prod_bs_lr_lr_control	20260728	20260729	20260729	ext	0.855257	0.812300	0.810600	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608190432
BR_train_prod_bs_lr_lr_control	20260729	20260730	20260730	buy	0.838126	0.703000	0.696700	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
BR_train_prod_bs_lr_lr_control	20260729	20260730	20260730	cat	0.837112	0.706500	0.700000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
BR_train_prod_bs_lr_lr_control	20260729	20260730	20260730	click	0.804533	0.700900	0.697600	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
BR_train_prod_bs_lr_lr_control	20260729	20260730	20260730	ext	0.861133	0.800100	0.800100	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608190500
BR_train_prod_bs_lr_lr_control	20260730	20260731	20260731	buy	0.838627	0.707200	0.701600	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
BR_train_prod_bs_lr_lr_control	20260730	20260731	20260731	cat	0.837528	0.711000	0.705300	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
BR_train_prod_bs_lr_lr_control	20260730	20260731	20260731	click	0.806312	0.705000	0.702700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
BR_train_prod_bs_lr_lr_control	20260730	20260731	20260731	ext	0.858240	0.822000	0.822300	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608190531
BR_train_prod_bs_lr_lr_control	20260731	20260801	20260801	buy	0.832714	0.701800	0.694300	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
BR_train_prod_bs_lr_lr_control	20260731	20260801	20260801	cat	0.832195	0.704600	0.697000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
BR_train_prod_bs_lr_lr_control	20260731	20260801	20260801	click	0.803839	0.701200	0.696700	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
BR_train_prod_bs_lr_lr_control	20260731	20260801	20260801	ext	0.856505	0.813400	0.810900	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608190608
